confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
hidden,ai_system,5.0,0.428,google_gemini38_flash,500,direct,v2_owner_match_v1
hidden,ai_system,5.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
hidden,ai_system,5.0,0.484,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
visible,ai_system,10.0,1.2,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,10.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
visible,ai_system,10.0,0.525,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,10.0,0.58,google_gemini38_flash,500,direct,v2_owner_match_v1
visible,ai_system,10.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
visible,ai_system,10.0,0.57,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.24,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,2.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
visible,ai_system,2.0,0.2175,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.22,google_gemini38_flash,500,direct,v2_owner_match_v1
visible,ai_system,2.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
visible,ai_system,2.0,0.224,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
visible,ai_system,20.0,2.4,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,20.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
visible,ai_system,20.0,0.575,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,20.0,0.83,google_gemini38_flash,500,direct,v2_owner_match_v1
visible,ai_system,20.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
visible,ai_system,20.0,0.552,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
visible,ai_system,5.0,0.6,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,5.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
visible,ai_system,5.0,0.4,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,5.0,0.478,google_gemini38_flash,500,direct,v2_owner_match_v1
visible,ai_system,5.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
visible,ai_system,5.0,0.484,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
hidden,human,10.0,1.2,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
hidden,human,10.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
hidden,human,10.0,0.525,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
hidden,human,10.0,0.714,google_gemini38_flash,500,direct,v2_owner_match_v1
hidden,human,10.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
hidden,human,10.0,0.57,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
hidden,human,2.0,0.24,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
hidden,human,2.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
hidden,human,2.0,0.2175,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
hidden,human,2.0,0.226,google_gemini38_flash,500,direct,v2_owner_match_v1
hidden,human,2.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
hidden,human,2.0,0.224,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
hidden,human,20.0,2.4,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
hidden,human,20.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
hidden,human,20.0,0.575,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
hidden,human,20.0,1.41,google_gemini38_flash,500,direct,v2_owner_match_v1
hidden,human,20.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
hidden,human,20.0,0.552,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
hidden,human,5.0,0.6,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
hidden,human,5.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
hidden,human,5.0,0.4,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
hidden,human,5.0,0.496,google_gemini38_flash,500,direct,v2_owner_match_v1
hidden,human,5.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
hidden,human,5.0,0.484,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
visible,human,10.0,1.2,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
visible,human,10.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
visible,human,10.0,0.525,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
visible,human,10.0,0.558,google_gemini38_flash,500,direct,v2_owner_match_v1
visible,human,10.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
visible,human,10.0,0.57,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
