model_alias,model_label,budget,router,catch_frac,catch_lo,catch_hi,precision_among_verified,residual_error_rate_unverified,n,n_wrong,evaluation_only
openai_gpt56_sol,GPT,0.5,loo_other_primary_wrong,0.8292720782244296,0.772959473265978,0.8840301830776844,0.2819525065963061,0.029023746701846966,500,85,True
anthropic_sonnet5,Claude,0.1,random,0.08264462809917356,0.05511811023622047,0.1452991452991453,nan,nan,500,121,False
anthropic_sonnet5,Claude,0.1,raw_q1,0.24834710743801652,0.18768656716417909,0.3030303030303031,0.601,0.18189999999999998,500,121,False
anthropic_sonnet5,Claude,0.1,calibrated_q1,0.24619399739016964,0.18021978021978025,0.2965367965367965,0.5957894736842105,0.18242105263157896,500,121,False
anthropic_sonnet5,Claude,0.1,hidden,0.13521368817448884,0.12543004587155962,0.14500851426138783,0.32721712538226294,0.20927828746177368,500,121,False
anthropic_sonnet5,Claude,0.1,q1_plus_hidden,0.24931129476584024,0.19448476052249636,0.2985404688191066,0.6033333333333334,0.1816666666666667,500,121,False
anthropic_sonnet5,Claude,0.1,hindsight_oracle,0.41322314049586784,0.3546099290780142,0.4854368932038835,1.0,0.142,500,121,False
anthropic_sonnet5,Claude,0.1,loo_other_primary_wrong,0.3062712688381138,0.2621722846441948,0.3582595101615425,0.7411764705882353,0.16788235294117645,500,121,True
anthropic_sonnet5,Claude,0.2,random,0.19008264462809918,0.13740458015267176,0.26,nan,nan,500,121,False
anthropic_sonnet5,Claude,0.2,raw_q1,0.4042400287459576,0.34364478114478114,0.4688844753392916,0.48913043478260865,0.14417391304347826,500,121,False
anthropic_sonnet5,Claude,0.2,calibrated_q1,0.3851239669421488,0.32094594594594594,0.45754716981132076,0.466,0.14880000000000002,500,121,False
anthropic_sonnet5,Claude,0.2,hidden,0.2704273763489777,0.25044270174550975,0.29209323847533114,0.32721712538226294,0.17655657492354743,500,121,False
anthropic_sonnet5,Claude,0.2,q1_plus_hidden,0.40708740295517154,0.3452574525745257,0.4711236660389203,0.49257575757575756,0.1434848484848485,500,121,False
anthropic_sonnet5,Claude,0.2,hindsight_oracle,0.8264462809917357,0.7142857142857143,0.980392156862745,1.0,0.041999999999999996,500,121,False
anthropic_sonnet5,Claude,0.2,loo_other_primary_wrong,0.5379866573732949,0.46606100452254295,0.6135265700483092,0.6509638554216868,0.11180722891566265,500,121,True
anthropic_sonnet5,Claude,0.3,random,0.2727272727272727,0.23008849557522124,0.36752136752136755,nan,nan,500,121,False
anthropic_sonnet5,Claude,0.3,raw_q1,0.551948051948052,0.47401315789473686,0.6211943793911008,0.44523809523809527,0.10842857142857142,500,121,False
anthropic_sonnet5,Claude,0.3,calibrated_q1,0.5361121092346389,0.4531554977228367,0.6219201359388276,0.43246376811594206,0.11226086956521739,500,121,False
anthropic_sonnet5,Claude,0.3,hidden,0.4056410645234666,0.37627316566831737,0.4354683856809766,0.32721712538226305,0.1438348623853211,500,121,False
anthropic_sonnet5,Claude,0.3,q1_plus_hidden,0.5375494071146245,0.46499999999999997,0.6120789779326364,0.4336231884057971,0.11191304347826088,500,121,False
anthropic_sonnet5,Claude,0.3,hindsight_oracle,1.0,1.0,1.0,0.8066666666666665,0.0,500,121,False
anthropic_sonnet5,Claude,0.3,loo_other_primary_wrong,0.5957383252016331,0.5314591700133868,0.6662473624411621,0.480562248995984,0.09783132530120482,500,121,True
anthropic_sonnet5,Claude,0.4,random,0.4132231404958678,0.32456140350877194,0.475,nan,nan,500,121,False
anthropic_sonnet5,Claude,0.4,raw_q1,0.6371798796041219,0.5652130625248905,0.7063333333333335,0.38549382716049385,0.08780246913580247,500,121,False
anthropic_sonnet5,Claude,0.4,calibrated_q1,0.5979738736336977,0.5198079231692676,0.6709635836287463,0.36177419354838714,0.09729032258064516,500,121,False
anthropic_sonnet5,Claude,0.4,hidden,0.5408547526979554,0.5050505050505051,0.5836776859504132,0.32721712538226294,0.11111314984709482,500,121,False
anthropic_sonnet5,Claude,0.4,q1_plus_hidden,0.6301652892561983,0.5593891402714931,0.6964937910883856,0.38125,0.0895,500,121,False
anthropic_sonnet5,Claude,0.4,hindsight_oracle,1.0,1.0,1.0,0.605,0.0,500,121,False
anthropic_sonnet5,Claude,0.4,loo_other_primary_wrong,0.6534899930299711,0.600032320620556,0.7105141269106069,0.39536144578313254,0.08385542168674698,500,121,True
anthropic_sonnet5,Claude,0.5,random,0.4628099173553719,0.4274193548387097,0.5772357723577236,nan,nan,500,121,False
anthropic_sonnet5,Claude,0.5,raw_q1,0.7341087644117947,0.6659919028340082,0.8026086956521739,0.35530864197530876,0.06434567901234568,500,121,False
anthropic_sonnet5,Claude,0.5,calibrated_q1,0.7024793388429752,0.6309213951067153,0.7712842712842713,0.34,0.072,500,121,False
anthropic_sonnet5,Claude,0.5,hidden,0.6760684408724442,0.625394666537135,0.7239382239382239,0.327217125382263,0.07839143730886851,500,121,False
anthropic_sonnet5,Claude,0.5,q1_plus_hidden,0.7306536438767843,0.6591880341880342,0.8073328540618261,0.35363636363636364,0.06518181818181819,500,121,False
anthropic_sonnet5,Claude,0.5,hindsight_oracle,1.0,1.0,1.0,0.48400000000000004,0.0,500,121,False
anthropic_sonnet5,Claude,0.5,loo_other_primary_wrong,0.7112416608583093,0.6636908401614285,0.7579132118864613,0.34424096385542174,0.06987951807228915,500,121,True
