model_alias,model_label,router,budget_fraction,n,n_wrong,n_verify,errors_caught_fraction,errors_caught_count,boot_mean,ci_lower,ci_upper
anthropic_sonnet5,Claude,single_hidden_ai_L10,0.3,500,129,150.0,0.4539662312838484,58.561643835616444,0.4544145638355891,0.41851368970013036,0.4909090909090908
anthropic_sonnet5,Claude,hidden_aggregate,0.3,500,129,150.0,0.5285412262156448,68.18181818181819,0.5293949863378781,0.47969448584202684,0.5832090058320899
anthropic_sonnet5,Claude,combined_q1_q2_single_hidden,0.3,500,129,150.0,0.5271317829457365,68.0,0.5334826940733352,0.46,0.608
anthropic_sonnet5,Claude,raw_q1,0.4,500,129,200.0,0.6400555362721277,82.56716417910448,0.6405650544722263,0.5701460742544128,0.7083997026653924
anthropic_sonnet5,Claude,calibrated_q1,0.4,500,129,200.0,0.6118863049095608,78.93333333333334,0.6123830467640468,0.5426573426573427,0.6836363636363635
anthropic_sonnet5,Claude,raw_q2,0.4,500,129,200.0,0.6422079657845496,82.8448275862069,0.6424302982599575,0.5723486474881924,0.7110696517412936
anthropic_sonnet5,Claude,mean_q1_q2,0.4,500,129,200.0,0.6365202411714038,82.1111111111111,0.6362082878725186,0.5666957279860506,0.7060606060606059
anthropic_sonnet5,Claude,single_hidden_ai_L10,0.4,500,129,200.0,0.6052883083784645,78.08219178082192,0.6058860851141188,0.5580182529335072,0.6545454545454545
anthropic_sonnet5,Claude,hidden_aggregate,0.4,500,129,200.0,0.704721634954193,90.9090909090909,0.7058426448386548,0.6395926477893692,0.7776120077761199
anthropic_sonnet5,Claude,combined_q1_q2_single_hidden,0.4,500,129,200.0,0.6434108527131783,83.0,0.6453566227989872,0.5714285714285714,0.71900826446281
anthropic_sonnet5,Claude,raw_q1,0.5,500,129,250.0,0.7378435517970402,95.18181818181819,0.7363852798057416,0.6686182669789228,0.8016949152542373
anthropic_sonnet5,Claude,calibrated_q1,0.5,500,129,250.0,0.7100477042337507,91.59615384615384,0.7101269017469878,0.6439201451905626,0.7764565992865636
anthropic_sonnet5,Claude,raw_q2,0.5,500,129,250.0,0.7416020671834626,95.66666666666667,0.7413589987786284,0.6760000000000002,0.8061821219715956
anthropic_sonnet5,Claude,mean_q1_q2,0.5,500,129,250.0,0.7545219638242894,97.33333333333333,0.7518993686970598,0.6861313868613139,0.8181102362204725
anthropic_sonnet5,Claude,single_hidden_ai_L10,0.5,500,129,250.0,0.7566103854730806,97.6027397260274,0.7573576063926485,0.6975228161668839,0.8181818181818181
anthropic_sonnet5,Claude,hidden_aggregate,0.5,500,129,250.0,0.8507751937984496,109.75,0.8496230664110804,0.7887834821428572,0.9065579340808698
anthropic_sonnet5,Claude,combined_q1_q2_single_hidden,0.5,500,129,250.0,0.7658914728682171,98.80000000000001,0.7676218480217796,0.695906432748538,0.8376068376068376
