model_alias,router,budget_fraction,gain_vs_raw_q1,raw_q1_catch,router_catch
anthropic_sonnet5,hidden_aggregate,0.1,-0.06717507298902647,0.24335548172757474,0.17618040873854826
anthropic_sonnet5,combined_q1_q2_single_hidden,0.1,-0.010797342192691017,0.24335548172757474,0.23255813953488372
anthropic_sonnet5,calibrated_q1,0.2,-0.05684754521963825,0.39018087855297157,0.3333333333333333
anthropic_sonnet5,raw_q2,0.2,0.0025839793281653423,0.39018087855297157,0.3927648578811369
anthropic_sonnet5,mean_q1_q2,0.2,0.005735173630806112,0.39018087855297157,0.3959160521837777
anthropic_sonnet5,single_hidden_ai_L10,0.2,-0.08753672436373933,0.39018087855297157,0.30264415418923224
anthropic_sonnet5,hidden_aggregate,0.2,-0.037820061075875044,0.39018087855297157,0.3523608174770965
anthropic_sonnet5,combined_q1_q2_single_hidden,0.2,-0.025839793281653756,0.39018087855297157,0.3643410852713178
anthropic_sonnet5,calibrated_q1,0.3,-0.043828264758497326,0.528324388789505,0.4844961240310077
anthropic_sonnet5,raw_q2,0.3,0.01073345259391767,0.528324388789505,0.5390578413834227
anthropic_sonnet5,mean_q1_q2,0.3,-0.0011926058437685683,0.528324388789505,0.5271317829457365
anthropic_sonnet5,single_hidden_ai_L10,0.3,-0.07435815750565666,0.528324388789505,0.4539662312838484
anthropic_sonnet5,hidden_aggregate,0.3,0.00021683742613975987,0.528324388789505,0.5285412262156448
anthropic_sonnet5,combined_q1_q2_single_hidden,0.3,-0.0011926058437685683,0.528324388789505,0.5271317829457365
anthropic_sonnet5,calibrated_q1,0.4,-0.028169231362566993,0.6400555362721277,0.6118863049095608
anthropic_sonnet5,raw_q2,0.4,0.002152429512421894,0.6400555362721277,0.6422079657845496
anthropic_sonnet5,mean_q1_q2,0.4,-0.003535295100723923,0.6400555362721277,0.6365202411714038
anthropic_sonnet5,single_hidden_ai_L10,0.4,-0.034767227893663266,0.6400555362721277,0.6052883083784645
anthropic_sonnet5,hidden_aggregate,0.4,0.0646660986820653,0.6400555362721277,0.704721634954193
anthropic_sonnet5,combined_q1_q2_single_hidden,0.4,0.003355316441050582,0.6400555362721277,0.6434108527131783
anthropic_sonnet5,calibrated_q1,0.5,-0.027795847563289455,0.7378435517970402,0.7100477042337507
anthropic_sonnet5,raw_q2,0.5,0.0037585153864223564,0.7378435517970402,0.7416020671834626
anthropic_sonnet5,mean_q1_q2,0.5,0.01667841202724918,0.7378435517970402,0.7545219638242894
anthropic_sonnet5,single_hidden_ai_L10,0.5,0.018766833676040373,0.7378435517970402,0.7566103854730806
anthropic_sonnet5,hidden_aggregate,0.5,0.11293164200140937,0.7378435517970402,0.8507751937984496
anthropic_sonnet5,combined_q1_q2_single_hidden,0.5,0.02804792107117693,0.7378435517970402,0.7658914728682171
