label,task,model_alias,from_condition,to_condition,delta_coverage,delta_coverage_ci_lo,delta_coverage_ci_hi,delta_unverified_error_rate,delta_leakage_ci_lo,delta_leakage_ci_hi,delta_unverified_errors_per_100,delta_error_catch_rate,delta_error_catch_ci_lo,delta_error_catch_ci_hi,bootstrap_n
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.70,displayed_0.85,-0.1853146853146853,-0.23076923076923078,-0.14335664335664333,0.08041958041958042,0.052447552447552434,0.1118881118881119,8.041958041958042,-0.15032679738562094,-0.2080536912751677,-0.09696480938416425,5000
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.85,displayed_0.90,-0.06643356643356646,-0.1048951048951049,-0.03146853146853146,0.02447552447552448,-0.003496503496503489,0.04895104895104899,2.447552447552448,-0.045751633986928164,-0.09396367943150423,0.005954173838210043,5000
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.90,displayed_0.95,-0.0874125874125874,-0.1223776223776224,-0.05594405594405594,0.06643356643356646,0.038461538461538464,0.09790209790209789,6.643356643356646,-0.12418300653594766,-0.17901234567901236,-0.07452891556152437,5000
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.95,displayed_0.99,-0.04895104895104896,-0.08041958041958044,-0.0174825174825175,0.0489510489510489,0.02097902097902099,0.08041958041958042,4.8951048951048906,-0.09150326797385622,-0.14685314685314682,-0.040809431880860544,5000
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.70,displayed_0.99,-0.3881118881118881,-0.44405594405594406,-0.3321678321678322,0.22027972027972026,0.17473776223776225,0.2692307692307693,22.027972027972027,-0.411764705882353,-0.4928596579476861,-0.3311688311688312,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.70,displayed_0.85,-0.0034965034965034336,-0.010489510489510523,0.0,0.0034965034965034965,0.0,0.01048951048951049,0.34965034965034963,-0.006134969325153339,-0.019736842105263164,0.0,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.85,displayed_0.90,-0.006993006993006978,-0.02447552447552448,0.010489510489510412,0.006993006993006994,-0.006993006993006993,0.02097902097902098,0.6993006993006994,-0.012269938650306789,-0.037735849056603765,0.011695906432748537,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.90,displayed_0.95,-0.010489510489510523,-0.027972027972028024,0.006993006993006978,0.003496503496503496,-0.006993006993006994,0.013986013986013988,0.3496503496503496,-0.006134969325153339,-0.02614379084967322,0.01290532048596565,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.95,displayed_0.99,-0.027972027972027913,-0.0524475524475525,-0.006993006993006978,0.0,-0.013986013986013988,0.013986013986013988,0.0,0.0,-0.025003930817610084,0.0239520958083832,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.70,displayed_0.99,-0.04895104895104885,-0.07692307692307687,-0.02447552447552448,0.013986013986013986,0.0034965034965034965,0.027972027972027972,1.3986013986013985,-0.024539877300613466,-0.05063291139240511,-0.005813953488372103,5000
