label,task,model_alias,policy,lambda,leakage_rate,verification_coverage,normalized_loss,best_observed_loss,best_observed_policy,regret_vs_best_observed,is_best_observed
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,0.2,0.114,0.144,0.1428,0.1172,hidden,0.02560000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,0.2,0.138,0.082,0.1544,0.1172,hidden,0.03720000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,hidden,0.5,0.038,0.396,0.23600000000000002,0.17900000000000002,displayed_0.99,0.056999999999999995,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,true_q_visible,0.5,0.12,0.124,0.182,0.17900000000000002,displayed_0.99,0.002999999999999975,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,0.5,0.02,0.584,0.312,0.17900000000000002,displayed_0.99,0.13299999999999998,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,0.5,0.084,0.228,0.198,0.17900000000000002,displayed_0.99,0.01899999999999999,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,0.5,0.102,0.18,0.192,0.17900000000000002,displayed_0.99,0.012999999999999984,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,0.5,0.114,0.144,0.186,0.17900000000000002,displayed_0.99,0.0069999999999999785,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,0.5,0.138,0.082,0.17900000000000002,0.17900000000000002,displayed_0.99,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,hidden,1.0,0.038,0.396,0.434,0.22000000000000003,displayed_0.99,0.21399999999999997,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,true_q_visible,1.0,0.12,0.124,0.244,0.22000000000000003,displayed_0.99,0.023999999999999966,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,1.0,0.02,0.584,0.604,0.22000000000000003,displayed_0.99,0.38399999999999995,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,1.0,0.084,0.228,0.312,0.22000000000000003,displayed_0.99,0.09199999999999997,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,1.0,0.102,0.18,0.282,0.22000000000000003,displayed_0.99,0.061999999999999944,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,1.0,0.114,0.144,0.258,0.22000000000000003,displayed_0.99,0.03799999999999998,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,1.0,0.138,0.082,0.22000000000000003,0.22000000000000003,displayed_0.99,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.001,0.028,0.654,0.028654,0.000924,displayed_0.70,0.027729999999999998,False
