confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
hidden,human,20.0,0.5875,google_gemini38_flash,160,calibrated_confidence,v2_owner_match_v1
hidden,human,20.0,1.285,google_gemini38_flash,200,direct,v2_owner_match_v1
hidden,human,20.0,0.105,google_gemini38_flash,200,oracle,v2_owner_match_v1
hidden,human,20.0,0.55,google_gemini38_flash,200,raw_confidence,v2_owner_match_v1
hidden,human,5.0,0.525,google_gemini38_flash,200,always_use_unverified,v2_owner_match_v1
hidden,human,5.0,1.0,google_gemini38_flash,200,always_verify,v2_owner_match_v1
hidden,human,5.0,0.40625,google_gemini38_flash,160,calibrated_confidence,v2_owner_match_v1
hidden,human,5.0,0.4,google_gemini38_flash,200,direct,v2_owner_match_v1
hidden,human,5.0,0.105,google_gemini38_flash,200,oracle,v2_owner_match_v1
hidden,human,5.0,0.395,google_gemini38_flash,200,raw_confidence,v2_owner_match_v1
visible,human,10.0,1.05,google_gemini38_flash,200,always_use_unverified,v2_owner_match_v1
visible,human,10.0,1.0,google_gemini38_flash,200,always_verify,v2_owner_match_v1
visible,human,10.0,0.525,google_gemini38_flash,160,calibrated_confidence,v2_owner_match_v1
visible,human,10.0,0.575,google_gemini38_flash,200,direct,v2_owner_match_v1
visible,human,10.0,0.105,google_gemini38_flash,200,oracle,v2_owner_match_v1
visible,human,10.0,0.57,google_gemini38_flash,200,raw_confidence,v2_owner_match_v1
visible,human,2.0,0.21,google_gemini38_flash,200,always_use_unverified,v2_owner_match_v1
visible,human,2.0,1.0,google_gemini38_flash,200,always_verify,v2_owner_match_v1
visible,human,2.0,0.18125,google_gemini38_flash,160,calibrated_confidence,v2_owner_match_v1
visible,human,2.0,0.19,google_gemini38_flash,200,direct,v2_owner_match_v1
visible,human,2.0,0.105,google_gemini38_flash,200,oracle,v2_owner_match_v1
visible,human,2.0,0.18,google_gemini38_flash,200,raw_confidence,v2_owner_match_v1
visible,human,20.0,2.1,google_gemini38_flash,200,always_use_unverified,v2_owner_match_v1
visible,human,20.0,1.0,google_gemini38_flash,200,always_verify,v2_owner_match_v1
visible,human,20.0,0.5875,google_gemini38_flash,160,calibrated_confidence,v2_owner_match_v1
visible,human,20.0,0.92,google_gemini38_flash,200,direct,v2_owner_match_v1
visible,human,20.0,0.105,google_gemini38_flash,200,oracle,v2_owner_match_v1
visible,human,20.0,0.55,google_gemini38_flash,200,raw_confidence,v2_owner_match_v1
visible,human,5.0,0.525,google_gemini38_flash,200,always_use_unverified,v2_owner_match_v1
visible,human,5.0,1.0,google_gemini38_flash,200,always_verify,v2_owner_match_v1
