model_alias,family,score_condition,difficulty_bin,n,verify_rate,mean_other_n_correct_verify,mean_other_n_correct_use,auroc_difficulty_for_verify,auroc_ci_lower,auroc_ci_upper,hard_minus_easy_verify,hard_minus_easy_ci_lower,hard_minus_easy_ci_upper,n_verify,n_use
openai_gpt56_sol,moderate,displayed_0.70,hard_0to1,22,0.8181818181818182,2.0,2.731707317073171,0.7180653162463828,0.6274630541871922,0.8043831168831169,0.41140215716486905,0.19407894736842102,0.6075757575757575,59,41
openai_gpt56_sol,moderate,displayed_0.70,medium_2,19,0.8947368421052632,2.0,2.731707317073171,0.7180653162463828,0.6274630541871922,0.8043831168831169,0.41140215716486905,0.19407894736842102,0.6075757575757575,59,41
openai_gpt56_sol,moderate,displayed_0.70,easy_3,59,0.4067796610169492,2.0,2.731707317073171,0.7180653162463828,0.6274630541871922,0.8043831168831169,0.41140215716486905,0.19407894736842102,0.6075757575757575,59,41
openai_gpt56_sol,moderate,displayed_0.90,hard_0to1,22,0.45454545454545453,1.45,2.5125,0.809375,0.7106690777576854,0.8986013986013986,0.42064714946070875,0.20833333333333334,0.6476190476190476,20,80
openai_gpt56_sol,moderate,displayed_0.90,medium_2,19,0.42105263157894735,1.45,2.5125,0.809375,0.7106690777576854,0.8986013986013986,0.42064714946070875,0.20833333333333334,0.6476190476190476,20,80
openai_gpt56_sol,moderate,displayed_0.90,easy_3,59,0.03389830508474576,1.45,2.5125,0.809375,0.7106690777576854,0.8986013986013986,0.42064714946070875,0.20833333333333334,0.6476190476190476,20,80
openai_gpt56_sol,moderate,displayed_0.99,hard_0to1,22,0.22727272727272727,1.1428571428571428,2.3870967741935485,0.8463901689708142,0.7536842105263157,0.9260204081632654,0.22727272727272727,0.05555555555555555,0.4166666666666667,7,93
openai_gpt56_sol,moderate,displayed_0.99,medium_2,19,0.10526315789473684,1.1428571428571428,2.3870967741935485,0.8463901689708142,0.7536842105263157,0.9260204081632654,0.22727272727272727,0.05555555555555555,0.4166666666666667,7,93
openai_gpt56_sol,moderate,displayed_0.99,easy_3,59,0.0,1.1428571428571428,2.3870967741935485,0.8463901689708142,0.7536842105263157,0.9260204081632654,0.22727272727272727,0.05555555555555555,0.4166666666666667,7,93
openai_gpt56_sol,stronger,hidden,hard_0to1,22,0.7272727272727273,1.9807692307692308,2.6458333333333335,0.703926282051282,0.6120218579234973,0.7948000000000002,0.3882896764252697,0.16228070175438603,0.6051587301587302,52,48
openai_gpt56_sol,stronger,hidden,medium_2,19,0.8421052631578947,1.9807692307692308,2.6458333333333335,0.703926282051282,0.6120218579234973,0.7948000000000002,0.3882896764252697,0.16228070175438603,0.6051587301587302,52,48
openai_gpt56_sol,stronger,hidden,easy_3,59,0.3389830508474576,1.9807692307692308,2.6458333333333335,0.703926282051282,0.6120218579234973,0.7948000000000002,0.3882896764252697,0.16228070175438603,0.6051587301587302,52,48
openai_gpt56_sol,stronger,displayed_0.70,hard_0to1,22,1.0,2.239130434782609,3.0,0.7228260869565217,0.6736842105263158,0.7741935483870968,0.13559322033898302,0.0535714285714286,0.22807017543859653,92,8
openai_gpt56_sol,stronger,displayed_0.70,medium_2,19,1.0,2.239130434782609,3.0,0.7228260869565217,0.6736842105263158,0.7741935483870968,0.13559322033898302,0.0535714285714286,0.22807017543859653,92,8
openai_gpt56_sol,stronger,displayed_0.70,easy_3,59,0.864406779661017,2.239130434782609,3.0,0.7228260869565217,0.6736842105263158,0.7741935483870968,0.13559322033898302,0.0535714285714286,0.22807017543859653,92,8
openai_gpt56_sol,stronger,displayed_0.90,hard_0to1,22,0.6363636363636364,1.875,2.5833333333333335,0.7029166666666666,0.6046464646464647,0.7972085385878489,0.399075500770416,0.1657559198542805,0.625,40,60
