model_alias,model_label,budget_fraction,router,n,n_wrong,n_verify,catch_fraction,errors_caught,catch_ci_lower,catch_ci_upper,delta_vs_q1_q2_difficulty,delta_ci_lower,delta_ci_upper,note
anthropic_sonnet5,Claude,0.2,q1,500,129,100.0,0.37209302325581395,48.0,0.30625402965828497,0.43873517786561267,-0.13953488372093026,-0.2180277349768875,-0.0602883355176933,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.2,q1_q2,500,129,100.0,0.3701550387596899,47.75,0.3076923076923077,0.4426229508196721,-0.1414728682170543,-0.22033898305084743,-0.055999999999999994,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.2,q1_q2_difficulty,500,129,100.0,0.5116279069767442,66.0,0.4411764705882353,0.5855855855855856,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.2,q1_q2_difficulty_hidden,500,129,100.0,0.49612403100775193,64.0,0.4365079365079365,0.5714285714285714,-0.015503875968992276,-0.046875,0.025423728813559365,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.2,q1_q2_difficulty_single_hidden,500,129,100.0,0.5038759689922481,65.0,0.43703703703703706,0.5739130434782609,-0.007751937984496138,-0.04424778761061954,0.02941176470588236,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.3,q1,500,129,150.0,0.5232558139534884,67.5,0.45380952380952383,0.6,-0.17441860465116277,-0.24576271186440674,-0.08266666666666667,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.3,q1_q2,500,129,150.0,0.5426356589147286,70.0,0.452991452991453,0.6016949152542372,-0.15503875968992253,-0.248,-0.07964601769911506,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.3,q1_q2_difficulty,500,129,150.0,0.6976744186046512,90.0,0.6229508196721312,0.7603305785123967,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.3,q1_q2_difficulty_hidden,500,129,150.0,0.6666666666666666,86.0,0.6015037593984962,0.7457627118644068,-0.03100775193798455,-0.05599999999999994,0.017094017094017144,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.3,q1_q2_difficulty_single_hidden,500,129,150.0,0.6589147286821705,85.0,0.593103448275862,0.734375,-0.03875968992248069,-0.06106870229007633,0.0,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.4,q1,500,129,200.0,0.6408268733850129,82.66666666666666,0.5659016393442622,0.7112249650675362,-0.16537467700258401,-0.2527027027027027,-0.09126984126984128,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.4,q1_q2,500,129,200.0,0.6201550387596899,80.0,0.5507246376811594,0.6976744186046512,-0.18604651162790697,-0.26809954751131226,-0.10442477876106193,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.4,q1_q2_difficulty,500,129,200.0,0.8062015503875969,104.0,0.746031746031746,0.8721804511278195,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.4,q1_q2_difficulty_hidden,500,129,200.0,0.8062015503875969,104.0,0.7323943661971831,0.8650793650793651,0.0,-0.053097345132743334,0.033333333333333326,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.4,q1_q2_difficulty_single_hidden,500,129,200.0,0.7984496124031008,103.0,0.7313432835820896,0.8702290076335878,-0.007751937984496138,-0.051724137931034475,0.033333333333333326,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.5,q1,500,129,250.0,0.7131782945736435,92.0,0.6464699683877766,0.7881006864988559,-0.1705426356589147,-0.24803149606299213,-0.0854700854700855,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.5,q1_q2,500,129,250.0,0.7338501291989664,94.66666666666667,0.6690647482014388,0.8070175438596491,-0.14987080103359174,-0.22627737226277378,-0.06766917293233077,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.5,q1_q2_difficulty,500,129,250.0,0.8837209302325582,114.0,0.831081081081081,0.9347826086956522,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.5,q1_q2_difficulty_hidden,500,129,250.0,0.8837209302325582,114.0,0.8296296296296296,0.9416666666666667,0.0,-0.03539823008849552,0.04761904761904767,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.5,q1_q2_difficulty_single_hidden,500,129,250.0,0.875968992248062,113.0,0.825,0.9363636363636364,-0.007751937984496138,-0.03125,0.0390625,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
