label,task,model_alias,delta,n,n_q1_exact_0,n_q1_exact_1,mean,median,iqr,p05,p25,p50,p75,p95,min,max,frac_ge_0.90,frac_ge_0.95,frac_ge_0.99,frac_le_0.70,spearman_q1,kendall_tau_q1,pairwise_order_preserved,n_new_ties_from_render,frac_new_ties_from_render,n_order_reversals,brier,ece,auroc_q_delta,auroc_q1,n_rendered_distinct,n_q1_rendered_distinct
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,-1.5,286,2,0,0.801035843786476,0.9566909942174234,0.040489564312018556,0.0022487716300452587,0.9162014299054049,0.9566909942174234,0.9566909942174234,0.9910986056342718,0.0,0.9999999999999996,0.7937062937062938,0.7167832167832168,0.0979020979020979,0.16083916083916083,1.0,1.0,1.0,0,0.0,0,0.3510484374608247,0.34796289724055773,0.6656346749226006,0.6656346749226006,19,19
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,-0.75,286,2,0,0.8221404809882076,0.9790638565595808,0.020478650384035846,0.004748721369673681,0.958585206175545,0.9790638565595808,0.9790638565595808,0.9957754376392289,0.0,0.9999999999999998,0.8391608391608392,0.7937062937062938,0.0979020979020979,0.16083916083916083,1.0,1.0,1.0,0,0.0,0,0.36924292239087947,0.3669036454154506,0.6656346749226006,0.6656346749226006,19,19
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,0.0,286,2,0,0.8342206293706295,0.99,0.010000000000000009,0.01,0.98,0.99,0.99,0.998,0.0,0.9999999999999999,0.8391608391608392,0.8391608391608392,0.7167832167832168,0.16083916083916083,1.0,1.0,1.0,0,0.0,0,0.37890693360140565,0.37707306993007006,0.6656346749226006,0.6656346749226006,19,19
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,0.75,286,2,0,0.8430504524174253,0.9952512786303263,0.0047993675061119845,0.020936143440419212,0.9904519111242143,0.9952512786303263,0.9952512786303263,0.9990542688957925,0.0,1.0,0.8391608391608392,0.8391608391608392,0.7937062937062938,0.16083916083916083,1.0,1.0,1.0,0,0.0,0,0.38415873938232487,0.38514649248675603,0.6656346749226006,0.6656346749226006,19,19
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,1.5,286,2,0,0.8523118814678068,0.9977512283699548,0.0022842631327272267,0.043309005782576605,0.9954669652372276,0.9977512283699548,0.9977512283699548,0.9995530452283394,0.0,1.0,0.8391608391608392,0.8391608391608392,0.8391608391608392,0.16083916083916083,1.0,1.0,1.0,0,0.0,0,0.38805067856336023,0.39086473924142723,0.6656346749226006,0.6656346749226006,19,19
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,-1.5,286,4,0,0.2983485163751124,0.25076529093399114,0.5467753592517424,0.00453303476277253,0.011607379146347465,0.25076529093399114,0.5583827383980898,0.7477577910217588,0.0,0.8091411117439881,0.0,0.0,0.0,0.9020979020979021,1.0,1.0,1.0,0,0.0,0,0.22679057265093241,0.13645405649861617,0.7681181106289591,0.7681181106289591,22,22
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,-0.75,286,4,0,0.3907821866087433,0.41470831990892604,0.7037619094950307,0.00954808887578561,0.024258302218254126,0.41470831990892604,0.7280202117132848,0.8625566913038926,0.0,0.899749016671533,0.0,0.0,0.0,0.6503496503496503,1.0,1.0,1.0,0,0.0,0,0.21971230935789937,0.14561170591861583,0.7681181106289591,0.7681181106289591,22,22
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,0.0,286,4,0,0.47458041958041963,0.6,0.7999999999999999,0.02,0.05,0.6,0.85,0.93,0.0,0.95,0.21678321678321677,0.038461538461538464,0.0,0.5769230769230769,1.0,1.0,1.0,0,0.0,0,0.22693181818181815,0.16569930069930067,0.7681181106289591,0.7681181106289591,22,22
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,0.75,286,4,0,0.5488297256638701,0.7605077250551816,0.8228042379321552,0.04141479382445496,0.100250983328467,0.7605077250551816,0.9230552212606222,0.9656662467470971,0.0,0.9757416977817458,0.34965034965034963,0.21678321678321677,0.0,0.46853146853146854,1.0,1.0,1.0,0,0.0,0,0.2394527329402279,0.193397546181131,0.7681181106289591,0.7681181106289591,22,22
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,1.5,286,4,0,0.6182799952250759,0.8705088185971921,0.771256925462288,0.08379857009459511,0.19085888825601174,0.8705088185971921,0.9621158137182997,0.9834826612266775,0.0,0.9883926208536525,0.42657342657342656,0.34965034965034963,0.0,0.45454545454545453,1.0,1.0,1.0,0,0.0,0,0.25450242082770824,0.22268117620941816,0.7681181106289591,0.7681181106289591,22,22
