task,model_alias,delta,lambda,normalized_loss,leakage_rate,verification_coverage
code,openai_gpt56_sol,0.75,0.05,0.36643356643356645,0.35664335664335667,0.1958041958041958
code,openai_gpt56_sol,0.75,0.1,0.37622377622377623,0.35664335664335667,0.1958041958041958
code,openai_gpt56_sol,0.75,0.2,0.39580419580419585,0.35664335664335667,0.1958041958041958
code,openai_gpt56_sol,0.75,0.5,0.4545454545454546,0.35664335664335667,0.1958041958041958
code,openai_gpt56_sol,0.75,1.0,0.5524475524475525,0.35664335664335667,0.1958041958041958
code,openai_gpt56_sol,1.5,0.001,0.3568356643356644,0.35664335664335667,0.19230769230769232
code,openai_gpt56_sol,1.5,0.002,0.35702797202797204,0.35664335664335667,0.19230769230769232
code,openai_gpt56_sol,1.5,0.005,0.3576048951048951,0.35664335664335667,0.19230769230769232
code,openai_gpt56_sol,1.5,0.01,0.3585664335664336,0.35664335664335667,0.19230769230769232
code,openai_gpt56_sol,1.5,0.02,0.3604895104895105,0.35664335664335667,0.19230769230769232
code,openai_gpt56_sol,1.5,0.05,0.3662587412587413,0.35664335664335667,0.19230769230769232
code,openai_gpt56_sol,1.5,0.1,0.3758741258741259,0.35664335664335667,0.19230769230769232
code,openai_gpt56_sol,1.5,0.2,0.3951048951048951,0.35664335664335667,0.19230769230769232
code,openai_gpt56_sol,1.5,0.5,0.4527972027972028,0.35664335664335667,0.19230769230769232
code,openai_gpt56_sol,1.5,1.0,0.548951048951049,0.35664335664335667,0.19230769230769232
code,anthropic_sonnet5,-1.5,0.001,0.0009965034965034964,0.0,0.9965034965034965
code,anthropic_sonnet5,-1.5,0.002,0.001993006993006993,0.0,0.9965034965034965
code,anthropic_sonnet5,-1.5,0.005,0.004982517482517482,0.0,0.9965034965034965
code,anthropic_sonnet5,-1.5,0.01,0.009965034965034964,0.0,0.9965034965034965
code,anthropic_sonnet5,-1.5,0.02,0.01993006993006993,0.0,0.9965034965034965
code,anthropic_sonnet5,-1.5,0.05,0.049825174825174824,0.0,0.9965034965034965
code,anthropic_sonnet5,-1.5,0.1,0.09965034965034965,0.0,0.9965034965034965
code,anthropic_sonnet5,-1.5,0.2,0.1993006993006993,0.0,0.9965034965034965
code,anthropic_sonnet5,-1.5,0.5,0.4982517482517482,0.0,0.9965034965034965
code,anthropic_sonnet5,-1.5,1.0,0.9965034965034965,0.0,0.9965034965034965
code,anthropic_sonnet5,-0.75,0.001,0.004479020979020979,0.0034965034965034965,0.9825174825174825
code,anthropic_sonnet5,-0.75,0.002,0.005461538461538462,0.0034965034965034965,0.9825174825174825
code,anthropic_sonnet5,-0.75,0.005,0.00840909090909091,0.0034965034965034965,0.9825174825174825
code,anthropic_sonnet5,-0.75,0.01,0.013321678321678321,0.0034965034965034965,0.9825174825174825
code,anthropic_sonnet5,-0.75,0.02,0.023146853146853146,0.0034965034965034965,0.9825174825174825
code,anthropic_sonnet5,-0.75,0.05,0.05262237762237763,0.0034965034965034965,0.9825174825174825
code,anthropic_sonnet5,-0.75,0.1,0.10174825174825176,0.0034965034965034965,0.9825174825174825
code,anthropic_sonnet5,-0.75,0.2,0.2,0.0034965034965034965,0.9825174825174825
code,anthropic_sonnet5,-0.75,0.5,0.49475524475524474,0.0034965034965034965,0.9825174825174825
code,anthropic_sonnet5,-0.75,1.0,0.986013986013986,0.0034965034965034965,0.9825174825174825
