model_id,model_label,decision_owner,error_cost,n,n_wrong,hidden_verify_rate,hidden_action_nunique,log_loss_conf_only,log_loss_conf_plus_hidden,delta_log_loss_A_minus_B,delta_log_loss_ci_lower,delta_log_loss_ci_upper,brier_conf_only,brier_conf_plus_hidden,delta_brier_A_minus_B,delta_brier_ci_lower,delta_brier_ci_upper,auroc_conf_only,auroc_conf_plus_hidden,delta_auroc_B_minus_A,delta_auroc_ci_lower,delta_auroc_ci_upper,positive_delta_means
openai_gpt56_sol,GPT-5.6 Sol,ai_system,5.0,500,87,0.284,2,0.4502657817635578,0.4108633193696078,0.03940246239395001,0.012751977788587422,0.06623094205874222,0.14049839530965982,0.12787956556155614,0.012618829748103688,0.0035335684477889547,0.02196792240785243,0.6516239458963012,0.6938159249672984,0.04219197907099714,-0.021169850174828368,0.10980530831975874,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
openai_gpt56_sol,GPT-5.6 Sol,ai_system,10.0,500,87,0.354,2,0.4502657817635578,0.4278787522421105,0.022387029521447277,0.0013139150521921002,0.04364255148676302,0.14049839530965982,0.13398396457700382,0.006514430732656007,-6.56065600675018e-05,0.013197796375598043,0.6516239458963012,0.6839637082185299,0.03233976232222868,-0.02092213794413183,0.08666041944715556,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
openai_gpt56_sol,GPT-5.6 Sol,ai_system,20.0,500,87,0.39,2,0.4502657817635578,0.4311941658108074,0.01907161595275042,-0.0007009770265051476,0.03829853012886817,0.14049839530965982,0.1345458546318838,0.005952540677776036,9.063083028592465e-05,0.011788261542518127,0.6516239458963012,0.669630681027525,0.01800673513122375,-0.03524609507314497,0.06862262977761999,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
openai_gpt56_sol,GPT-5.6 Sol,human,2.0,500,87,0.22,2,0.4502657817635578,0.42648068100492237,0.023785100758635436,0.0020264747216505396,0.04684898592461352,0.14049839530965982,0.1325008104785859,0.007997584831073934,0.00034683346347508975,0.016044556896488642,0.6516239458963012,0.6602794244524227,0.008655478556121476,-0.05110682098601181,0.07347751842157302,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
openai_gpt56_sol,GPT-5.6 Sol,human,5.0,500,87,0.278,2,0.4502657817635578,0.42494143568201986,0.02532434608153794,0.003663070943879072,0.04778375826690461,0.14049839530965982,0.13227899910069546,0.008219396208964364,0.0011390774129206443,0.015643021653018306,0.6516239458963012,0.6690601430519607,0.017436197155659472,-0.04060961088256147,0.07808528152637145,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
openai_gpt56_sol,GPT-5.6 Sol,human,10.0,500,87,0.356,2,0.4502657817635578,0.4272009964722271,0.023064785291330714,0.002911268617568405,0.04319688969352286,0.14049839530965982,0.13341604688907194,0.007082348420587886,0.0008004834986708482,0.013326084179297468,0.6516239458963012,0.6830591967938549,0.03143525089755361,-0.028533063959170546,0.09062583413434269,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
openai_gpt56_sol,GPT-5.6 Sol,human,20.0,500,87,0.376,2,0.4502657817635578,0.4254484424309752,0.024817339332582622,0.0029117229322956997,0.04699332144932835,0.14049839530965982,0.13330185735908298,0.007196537950576842,0.00038392969590164786,0.014125894042491116,0.6516239458963012,0.6891124655589881,0.03748851966268685,-0.017699654180599857,0.09301465473800337,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
xai_grok420_nonreasoning,Grok 4.20,ai_system,2.0,500,178,0.934,2,0.5684637857917555,0.5710855260798421,-0.0026217402880865937,-0.011672959520672363,0.004420917043142709,0.19432264440319288,0.1956324395646024,-0.0013097951614095271,-0.0046101884720703475,0.0012267086156178759,0.7398108730546444,0.7333292623351245,-0.006481610719519915,-0.019737256222922026,0.005284896605211556,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
xai_grok420_nonreasoning,Grok 4.20,ai_system,5.0,500,178,0.956,2,0.5684637857917555,0.5802213579745533,-0.011757572182797826,-0.04730650362005341,0.0071220807631927055,0.19432264440319288,0.19385484256236338,0.00046780184082950704,-0.0013136392859111458,0.001720123405374159,0.7398108730546444,0.7393398004047735,-0.00047107264987089614,-0.006305238581391191,0.003773172281206674,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
xai_grok420_nonreasoning,Grok 4.20,ai_system,10.0,500,178,0.968,2,0.5684637857917555,0.5768455274013103,-0.00838174160955485,-0.032957572260607935,0.004920082670058426,0.19432264440319288,0.1950376429701459,-0.0007149985669530068,-0.004081256971852395,0.0012581172663937868,0.7398108730546444,0.7356584548817084,-0.00415241817293599,-0.01609414878138394,0.005079764252841115,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
xai_grok420_nonreasoning,Grok 4.20,ai_system,20.0,500,178,0.958,2,0.5684637857917555,0.5697626056531971,-0.0012988198614416469,-0.007320502117256998,0.0031061186902639685,0.19432264440319288,0.19461122988679896,-0.0002885854836060797,-0.0017485195728798053,0.0008005019685831807,0.7398108730546444,0.7363563402889246,-0.003454532765719831,-0.010893187322693421,0.002302468833855041,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
xai_grok420_nonreasoning,Grok 4.20,human,2.0,500,178,0.964,2,0.5684637857917555,0.5623321517312534,0.0061316340605021,0.0028299951130959494,0.009911699096975979,0.19432264440319288,0.19311069941203954,0.0012119449911533464,0.0003677621253700144,0.002184748722246909,0.7398108730546444,0.7410496196524531,0.0012387465978086487,-0.004067856877190192,0.007240324731895317,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
xai_grok420_nonreasoning,Grok 4.20,human,5.0,500,178,0.966,2,0.5684637857917555,0.5745986751051334,-0.0061348893133779114,-0.027866003732054404,0.005753523205572769,0.19432264440319288,0.19536638490388794,-0.0010437405006950562,-0.005323992953398906,0.0013666939497391734,0.7398108730546444,0.7348384395282295,-0.0049724335264149655,-0.019312771327884764,0.004587466819992369,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
xai_grok420_nonreasoning,Grok 4.20,human,10.0,500,178,0.976,2,0.5684637857917555,0.5651386777933372,0.003325107998418342,0.001175403344939766,0.0056090872391432196,0.19432264440319288,0.19379426739627156,0.0005283770069213212,4.853007844730229e-05,0.0010103848641191474,0.7398108730546444,0.7404040756507781,0.0005932025961337128,-0.0007955388729758733,0.0021404632136693743,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
xai_grok420_nonreasoning,Grok 4.20,human,20.0,500,178,0.972,2,0.5684637857917555,0.564736603148798,0.0037271826429574606,0.0014067234858297114,0.006237661168476941,0.19432264440319288,0.19374638358777094,0.0005762608154219473,4.55878328045106e-05,0.0011253908691563474,0.7398108730546444,0.738886174890083,-0.0009246981645614216,-0.005862846023699569,0.003389587312665281,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
