model_id,model_label,decision_owner,error_cost,n,n_wrong,n_correct,hidden_verify_budget,hidden_n_verify,hidden_error_catch_rate,hidden_correct_verify_rate,hidden_precision,hidden_wrong_unverified_rate,conf_error_catch_rate,conf_correct_verify_rate,conf_precision,catch_diff_hidden_minus_conf,catch_diff_ci_lower,catch_diff_ci_upper,catch_diff_n_valid_resamples,visible_verify_rate,visible_error_catch_rate,visible_wrong_unverified_rate,hidden_mean_cost,visible_mean_cost,cost_diff_visible_minus_hidden,cost_diff_ci_lower,cost_diff_ci_upper,wrong_unverified_diff_visible_minus_hidden,verify_rate_diff_visible_minus_hidden,visible_vs_raw_threshold_agreement,hidden_vs_raw_threshold_agreement,raw_threshold_verify_rate
openai_gpt56_sol,GPT-5.6 Sol,ai_system,2.0,500,87,413,0.224,112,0.5517241379310345,0.1549636803874092,0.42857142857142855,0.4482758620689655,0.451559934318555,0.17606364579730197,0.350765306122449,0.10016420361247946,0.0,0.2017180124223602,5000.0,0.038,0.11494252873563218,0.8850574712643678,0.38,0.346,-0.034,-0.074,0.004,0.4367816091954023,-0.186,0.994,0.792,0.032
openai_gpt56_sol,GPT-5.6 Sol,ai_system,5.0,500,87,413,0.284,142,0.632183908045977,0.2106537530266344,0.3873239436619718,0.367816091954023,0.5103448275862069,0.23631961259079906,0.3126760563380282,0.1218390804597701,0.013189369791803976,0.23351839345304298,5000.0,0.076,0.1839080459770115,0.8160919540229885,0.604,0.786,0.182,0.084,0.288,0.4482758620689655,-0.20799999999999996,0.996,0.772,0.076
openai_gpt56_sol,GPT-5.6 Sol,ai_system,10.0,500,87,413,0.354,177,0.6436781609195402,0.2929782082324455,0.3163841807909605,0.3563218390804598,0.5862068965517241,0.3050847457627119,0.288135593220339,0.05747126436781613,-0.0531074164086253,0.17310329048701142,5000.0,0.154,0.3563218390804598,0.6436781609195402,0.974,1.274,0.3,0.11,0.5020499999999992,0.28735632183908044,-0.19999999999999998,0.994,0.758,0.148
openai_gpt56_sol,GPT-5.6 Sol,ai_system,20.0,500,87,413,0.39,195,0.6666666666666666,0.33171912832929784,0.29743589743589743,0.33333333333333337,0.6206896551724139,0.3414043583535109,0.276923076923077,0.045977011494252706,-0.06719733432062203,0.15581922686873256,5000.0,0.224,0.45977011494252873,0.5402298850574713,1.55,2.104,0.554,0.174,0.948,0.2068965517241379,-0.166,0.988,0.746,0.236
openai_gpt56_sol,GPT-5.6 Sol,human,2.0,500,87,413,0.22,110,0.4942528735632184,0.162227602905569,0.39090909090909093,0.5057471264367817,0.44618599791013586,0.17235307065815542,0.3528925619834711,0.04806687565308254,-0.0580861414333175,0.1585144982254776,5000.0,0.04,0.11494252873563218,0.8850574712643678,0.396,0.348,-0.048,-0.086,-0.01,0.3793103448275862,-0.18,0.992,0.804,0.032
openai_gpt56_sol,GPT-5.6 Sol,human,5.0,500,87,413,0.278,139,0.5747126436781609,0.21549636803874092,0.3597122302158273,0.4252873563218391,0.503448275862069,0.2305084745762712,0.3151079136690647,0.07126436781609191,-0.0364031398934678,0.17521150209466244,5000.0,0.078,0.19540229885057472,0.8045977011494253,0.648,0.778,0.13,0.038,0.232,0.3793103448275862,-0.2,0.998,0.794,0.076
openai_gpt56_sol,GPT-5.6 Sol,human,10.0,500,87,413,0.356,178,0.6436781609195402,0.29539951573849876,0.3146067415730337,0.3563218390804598,0.5881226053639848,0.3071025020177563,0.2874531835205993,0.05555555555555547,-0.06554940523790484,0.17232823442396672,5000.0,0.152,0.3333333333333333,0.6666666666666667,0.976,1.312,0.336,0.128,0.554,0.31034482758620696,-0.204,0.996,0.752,0.148
openai_gpt56_sol,GPT-5.6 Sol,human,20.0,500,87,413,0.376,188,0.6781609195402298,0.31234866828087166,0.31382978723404253,0.32183908045977017,0.6072796934865899,0.3272800645682002,0.2810283687943262,0.07088122605363989,-0.0437540805505211,0.19113748728917557,5000.0,0.214,0.4367816091954023,0.5632183908045977,1.496,2.174,0.678,0.222,1.142,0.2413793103448275,-0.162,0.978,0.728,0.236
xai_grok420_nonreasoning,Grok 4.20,ai_system,2.0,500,178,322,0.934,467,0.9775280898876404,0.9099378881987578,0.37259100642398285,0.022471910112359605,1.0,0.8975155279503105,0.3811563169164882,-0.022471910112359605,-0.04449772514333177,-0.0044284684048927865,5000.0,0.81,0.8820224719101124,0.1179775280898876,0.95,0.894,-0.056,-0.092,-0.022,0.09550561797752799,-0.124,0.41,0.314,0.252
xai_grok420_nonreasoning,Grok 4.20,ai_system,5.0,500,178,322,0.956,478,0.9943820224719101,0.9347826086956522,0.3702928870292887,0.005617977528089901,1.0,0.9316770186335404,0.3723849372384937,-0.005617977528089901,-0.01807228915662651,0.0,5000.0,0.85,0.9157303370786517,0.0842696629213483,0.966,1.0,0.034,-0.034,0.108,0.0786516853932584,-0.10599999999999998,0.716,0.694,0.658
