model_id,model_label,error_cost,decision_owner,policy,policy_detail,visibility,verification_rate,wrong_unverified_rate,correct_verify_rate,error_catch_rate,mean_realized_cost,mean_cost_ci_lower,mean_cost_ci_upper,n,n_wrong,brier,auroc,ece_10bin
google_gemini38_flash,Gemini 3.8 Flash,5.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.074,0.6833333333333333,0.04090909090909091,0.31666666666666665,0.484,0.37,0.606,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,5.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.212,0.35,0.15227272727272728,0.65,0.422,0.334,0.516,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,5.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,0.074,0.6833333333333333,0.04090909090909091,0.31666666666666665,0.484,0.37,0.606,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,5.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.098,0.55,0.05,0.45,0.428,0.322,0.544,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,5.0,ai_system,actual_visible,visible_ai_system,visible,0.078,0.6666666666666667,0.04318181818181818,0.3333333333333333,0.478,0.362,0.6,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,5.0,human,actual_hidden,hidden_human,hidden,0.066,0.7166666666666667,0.03636363636363636,0.2833333333333333,0.496,0.376,0.62,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,5.0,human,actual_visible,visible_human,visible,0.086,0.65,0.05,0.35,0.476,0.364,0.6,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,5.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.082,0.6333333333333333,0.04318181818181818,0.3666666666666667,0.462,0.3499750000000001,0.578,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,5.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.08199999999999999,0.6583333333333334,0.04659090909090909,0.3416666666666667,0.477,0.3619750000000001,0.601,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,10.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.21,0.30000000000000004,0.1431818181818182,0.7,0.57,0.412,0.736,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,10.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.472,0.033333333333333326,0.40454545454545454,0.9666666666666667,0.512,0.448,0.584,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,10.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,0.24,0.2666666666666667,0.17272727272727273,0.7333333333333333,0.56,0.414,0.724,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,10.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.09,0.5833333333333333,0.045454545454545456,0.4166666666666667,0.79,0.582,1.026,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,10.0,ai_system,actual_visible,visible_ai_system,visible,0.22,0.30000000000000004,0.15454545454545454,0.7,0.58,0.424,0.744,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,10.0,human,actual_hidden,hidden_human,hidden,0.094,0.5166666666666666,0.04090909090909091,0.48333333333333334,0.714,0.5139500000000002,0.93,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,10.0,human,actual_visible,visible_human,visible,0.218,0.2833333333333333,0.15,0.7166666666666667,0.558,0.408,0.7320499999999992,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,10.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.092,0.5499999999999999,0.04318181818181818,0.45,0.752,0.5489750000000001,0.9710249999999996,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,10.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.219,0.2916666666666667,0.15227272727272728,0.7083333333333333,0.569,0.4189750000000001,0.7430249999999996,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,20.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.472,0.033333333333333326,0.40454545454545454,0.9666666666666667,0.552,0.452,0.686,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,20.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.472,0.033333333333333326,0.40454545454545454,0.9666666666666667,0.552,0.452,0.686,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,20.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,1.0,0.0,1.0,1.0,1.0,1.0,1.0,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,20.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.106,0.5833333333333333,0.06363636363636363,0.4166666666666667,1.506,1.068,1.964,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,20.0,ai_system,actual_visible,visible_ai_system,visible,0.27,0.23333333333333328,0.20227272727272727,0.7666666666666667,0.83,0.558,1.142,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,20.0,human,actual_hidden,hidden_human,hidden,0.09,0.55,0.04090909090909091,0.45,1.41,1.01,1.8620499999999993,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,20.0,human,actual_visible,visible_human,visible,0.256,0.25,0.18863636363636363,0.75,0.856,0.586,1.168,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,20.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.098,0.5666666666666667,0.05227272727272727,0.43333333333333335,1.458,1.037,1.887074999999999,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,20.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.263,0.24166666666666664,0.19545454545454544,0.7583333333333333,0.843,0.579,1.1420249999999996,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,,na,score_quality,raw_q,na,,,,,,,,500,60,0.083429604,0.8667613636363635,0.04887599999999999
google_gemini38_flash,Gemini 3.8 Flash,,na,score_quality,isotonic_cv,na,,,,,,,,500,60,0.0818937315218011,0.8402651515151516,0.02939914906058202
google_gemini38_flash,Gemini 3.8 Flash,,na,score_quality,platt_cv,na,,,,,,,,500,60,0.08560333144725112,0.865435606060606,0.05648523082121544
openai_gpt56_sol,GPT-5.6 Sol,2.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.032,0.9195402298850575,0.021791767554479417,0.08045977011494253,0.352,0.286,0.418,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,2.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.026,0.9425287356321839,0.01937046004842615,0.05747126436781609,0.354,0.288,0.422,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,2.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,0.022,0.9655172413793104,0.01937046004842615,0.034482758620689655,0.358,0.294,0.424,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,2.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.224,0.4482758620689655,0.1549636803874092,0.5517241379310345,0.38,0.326,0.436,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,2.0,ai_system,actual_visible,visible_ai_system,visible,0.038,0.8850574712643678,0.021791767554479417,0.11494252873563218,0.346,0.282,0.41004999999999925,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,2.0,human,actual_hidden,hidden_human,hidden,0.22,0.5057471264367817,0.162227602905569,0.4942528735632184,0.396,0.34,0.452,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,2.0,human,actual_visible,visible_human,visible,0.04,0.8850574712643678,0.024213075060532687,0.11494252873563218,0.348,0.2859500000000002,0.414,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,2.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.222,0.4770114942528736,0.1585956416464891,0.5229885057471264,0.388,0.334,0.443,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,2.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.039,0.8850574712643678,0.02300242130750605,0.11494252873563218,0.347,0.286,0.413,500,87,,,
