model_id,decision_owner,error_cost,bin_type,bin_label,q_value,n,n_verify,n_use,error_rate_verify,error_rate_use,error_rate_diff_verify_minus_use
anthropic_sonnet5,human,10.0,exact_q,q=0.6,0.6,69,61,8,0.39344262295081966,0.125,0.26844262295081966
anthropic_sonnet5,human,10.0,exact_q,q=0.65,0.65,13,9,4,0.5555555555555556,0.0,0.5555555555555556
anthropic_sonnet5,human,10.0,exact_q,q=0.7,0.7,22,18,4,0.2777777777777778,0.25,0.02777777777777779
anthropic_sonnet5,human,10.0,exact_q,q=0.72,0.72,67,41,26,0.34146341463414637,0.11538461538461539,0.22607879924953098
anthropic_sonnet5,human,10.0,exact_q,q=0.75,0.75,33,15,18,0.3333333333333333,0.05555555555555555,0.2777777777777778
anthropic_sonnet5,human,10.0,exact_q,q=0.8,0.8,14,6,8,0.5,0.125,0.375
anthropic_sonnet5,human,10.0,exact_q,q=0.85,0.85,81,32,49,0.375,0.10204081632653061,0.2729591836734694
anthropic_sonnet5,human,10.0,exact_q,q=0.9,0.9,41,11,30,0.36363636363636365,0.06666666666666667,0.296969696969697
anthropic_sonnet5,human,10.0,exact_q,q=0.95,0.95,38,4,34,0.0,0.029411764705882353,-0.029411764705882353
anthropic_sonnet5,human,10.0,exact_q,q=0.97,0.97,18,1,17,0.0,0.0,0.0
anthropic_sonnet5,human,10.0,quantile,"(0.049, 0.6]",0.5092465753424658,146,135,11,0.4740740740740741,0.2727272727272727,0.20134680134680139
anthropic_sonnet5,human,10.0,quantile,"(0.6, 0.72]",0.7059223300970875,103,68,35,0.35294117647058826,0.11428571428571428,0.238655462184874
anthropic_sonnet5,human,10.0,quantile,"(0.72, 0.85]",0.8187499999999999,128,53,75,0.37735849056603776,0.09333333333333334,0.28402515723270444
anthropic_sonnet5,human,10.0,quantile,"(0.85, 0.9]",0.8995238095238095,42,11,31,0.36363636363636365,0.06451612903225806,0.2991202346041056
anthropic_sonnet5,human,10.0,quantile,"(0.9, 0.99]",0.952716049382716,81,5,76,0.0,0.013157894736842105,-0.013157894736842105
anthropic_sonnet5,human,20.0,exact_q,q=0.55,0.55,28,25,3,0.36,0.6666666666666666,-0.30666666666666664
